,no_bab,nama_bab,no_bagian,nama_bagian,no_paragraf,nama_paragraf,no_pasal,no_ayat,isi_ayat,pasal_ayat,penjelasan_pasal,no_ayat_y,penjelasan,nomor_uu,tahun_uu
36,VI,"PENDAPATAN, ALOKASI DANA PERIMBANGAN,
HIBAH, DAN BANTUAN KEUANGAN",,,,,15,2," Dalam dana perimbangan sebagaimana dimaksud pada ayat (1),
Pemerintah mengalokasikan dana alokasi khusus prasarana
pemerintahan sesuai dengan peraturan perundang-undangan.",15-2,"Ayat (1)
Cukup jelas.
Ayat (2)
Cukup jelas.
Ayat (3)
Dana transfer ke daerah dilakukan untuk meningkatkan
kesejahteraan rakyat dan mengoptimalkan pelayanan publik
serta tidak digunakan hanya untuk pembangunan dan/atau
pengadaan sarana prasarana di antaranya kantor
pemerintahan, rumah dinas, dan kendaraan dinas.",2,Cukup jelas.,7,2013
37,VI,"PENDAPATAN, ALOKASI DANA PERIMBANGAN,
HIBAH, DAN BANTUAN KEUANGAN",,,,,15,3," Dana perimbangan sebagaimana dimaksud pada ayat (1) yang berupa
dana transfer ke daerah dialokasikan sesuai dengan kemampuan
keuangan negara sesuai dengan peraturan perundang-undangan.",15-3,"Ayat (1)
Cukup jelas.
Ayat (2)
Cukup jelas.
Ayat (3)
Dana transfer ke daerah dilakukan untuk meningkatkan
kesejahteraan rakyat dan mengoptimalkan pelayanan publik
serta tidak digunakan hanya untuk pembangunan dan/atau
pengadaan sarana prasarana di antaranya kantor
pemerintahan, rumah dinas, dan kendaraan dinas.",3,"Dana transfer ke daerah dilakukan untuk meningkatkan
kesejahteraan rakyat dan mengoptimalkan pelayanan publik
serta tidak digunakan hanya untuk pembangunan dan/atau
pengadaan sarana prasarana di antaranya kantor
pemerintahan, rumah dinas, dan kendaraan dinas.",7,2013
38,VI,"PENDAPATAN, ALOKASI DANA PERIMBANGAN,
HIBAH, DAN BANTUAN KEUANGAN",,,,,16,1," Pemerintah Kabupaten Muara Enim sesuai dengan kesanggupannya
memberikan hibah berupa uang untuk menunjang kegiatan
penyelenggaraan pemerintahan Kabupaten Penukal Abab Lematang
Ilir sebesar Rp5.000.000.000,00 (lima miliar rupiah) setiap tahun
selama 2 (dua) tahun berturut-turut serta untuk pelaksanaan
pemilihan Bupati dan/atau Wakil Bupati Penukal Abab Lematang Ilir
pertama kali sebesar Rp5.000.000.000,00 (lima miliar rupiah).",16-1,"Ayat (1)
Yang dimaksud dengan memberikan bantuan dana dalam
ketentuan ini adalah pemberian sejumlah dana yang
didasarkan pada Keputusan Bupati Muara Enim Nomor
668/KPTS/III/2007 tanggal 30 Juni 2007 dan Keputusan
Pimpinan Dewan Perwakilan Rakyat Daerah Kabupaten
Muara Enim Nomor 08 Tahun 2010 tanggal 14 Juli 2010,
serta untuk pelaksanaan pemilihan Bupati dan Wakil Bupati
Penukal Abab Lematang Ilir pertama kali sesuai dengan
Keputusan Bupati Muara Enim Nomor 546/KPTS/I/2010
tanggal 29 Juni 2010 dan Keputusan Dewan Perwakilan
Rakyat Daerah Kabupaten Muara Enim Nomor 11 Tahun
2010 tanggal 12 Juli 2010.
Ayat (2)
Yang dimaksud dengan memberikan bantuan dana dalam
ketentuan ini adalah pemberian sejumlah dana yang
didasarkan pada Keputusan Gubernur Sumatera Selatan
Nomor 441/KPTS/I/2010 tanggal 28 Juni 2010 dan
Keputusan Dewan Perwakilan Rakyat Daerah Provinsi
Sumatera Selatan Nomor 1 Tahun 2009 tanggal 5 Januari
2009, serta untuk pelaksanaan pemilihan Bupati dan Wakil
Bupati Penukal Abab Lematang Ilir pertama kali sesuai
dengan Keputusan Gubernur Sumatera Selatan Nomor
441/KPTS/I/2010 tanggal 28 Juni 2010 dan Keputusan
Dewan Perwakilan Rakyat Daerah Provinsi Sumatera Selatan
Nomor 1 Tahun 2009 tanggal 5 Januari 2009.
Ayat (3)
Cukup jelas.
Ayat (4)
Pengurangan penerimaan dana perimbangan sesuai
mekanisme yang diatur dalam Peraturan Menteri Keuangan
mengenai tata cara pemotongan dana alokasi umum dan
dana bagi hasil daerah induk/provinsi yang tidak memenuhi
kewajiban hibah/bantuan pendanaan kepada daerah otonom
baru.
Ayat (5)
Pengurangan penerimaan dana perimbangan sesuai
mekanisme yang diatur dalam Peraturan Menteri Keuangan
mengenai tata cara pemotongan dana alokasi umum dan
dana bagi hasil daerah induk/provinsi yang tidak memenuhi
kewajiban hibah/bantuan pendanaan kepada daerah otonom
baru.
Ayat (6)
Cukup jelas.
Ayat (7)
Cukup jelas.",1,"Yang dimaksud dengan memberikan bantuan dana dalam
ketentuan ini adalah pemberian sejumlah dana yang
didasarkan pada Keputusan Bupati Muara Enim Nomor
668/KPTS/III/2007 tanggal 30 Juni 2007 dan Keputusan
Pimpinan Dewan Perwakilan Rakyat Daerah Kabupaten
Muara Enim Nomor 08 Tahun 2010 tanggal 14 Juli 2010,
serta untuk pelaksanaan pemilihan Bupati dan Wakil Bupati
Penukal Abab Lematang Ilir pertama kali sesuai dengan
Keputusan Bupati Muara Enim Nomor 546/KPTS/I/2010
tanggal 29 Juni 2010 dan Keputusan Dewan Perwakilan
Rakyat Daerah Kabupaten Muara Enim Nomor 11 Tahun
2010 tanggal 12 Juli 2010.",7,2013
39,VI,"PENDAPATAN, ALOKASI DANA PERIMBANGAN,
HIBAH, DAN BANTUAN KEUANGAN",,,,,16,2," Pemerintah Provinsi Sumatera Selatan memberikan bantuan dana
untuk menunjang kegiatan penyelenggaraan pemerintahan Kabupaten
Penukal Abab Lematang Ilir sebesar Rp10.000.000.000,00 (sepuluh
miliar rupiah) setiap tahun selama 2 (dua) tahun berturut-turut serta
untuk pelaksanaan pemilihan Bupati dan/atau Wakil Bupati Penukal
Abab Lematang Ilir pertama kali sebesar Rp7.500.000.000,00 (tujuh
miliar lima ratus juta rupiah).",16-2,"Ayat (1)
Yang dimaksud dengan memberikan bantuan dana dalam
ketentuan ini adalah pemberian sejumlah dana yang
didasarkan pada Keputusan Bupati Muara Enim Nomor
668/KPTS/III/2007 tanggal 30 Juni 2007 dan Keputusan
Pimpinan Dewan Perwakilan Rakyat Daerah Kabupaten
Muara Enim Nomor 08 Tahun 2010 tanggal 14 Juli 2010,
serta untuk pelaksanaan pemilihan Bupati dan Wakil Bupati
Penukal Abab Lematang Ilir pertama kali sesuai dengan
Keputusan Bupati Muara Enim Nomor 546/KPTS/I/2010
tanggal 29 Juni 2010 dan Keputusan Dewan Perwakilan
Rakyat Daerah Kabupaten Muara Enim Nomor 11 Tahun
2010 tanggal 12 Juli 2010.
Ayat (2)
Yang dimaksud dengan memberikan bantuan dana dalam
ketentuan ini adalah pemberian sejumlah dana yang
didasarkan pada Keputusan Gubernur Sumatera Selatan
Nomor 441/KPTS/I/2010 tanggal 28 Juni 2010 dan
Keputusan Dewan Perwakilan Rakyat Daerah Provinsi
Sumatera Selatan Nomor 1 Tahun 2009 tanggal 5 Januari
2009, serta untuk pelaksanaan pemilihan Bupati dan Wakil
Bupati Penukal Abab Lematang Ilir pertama kali sesuai
dengan Keputusan Gubernur Sumatera Selatan Nomor
441/KPTS/I/2010 tanggal 28 Juni 2010 dan Keputusan
Dewan Perwakilan Rakyat Daerah Provinsi Sumatera Selatan
Nomor 1 Tahun 2009 tanggal 5 Januari 2009.
Ayat (3)
Cukup jelas.
Ayat (4)
Pengurangan penerimaan dana perimbangan sesuai
mekanisme yang diatur dalam Peraturan Menteri Keuangan
mengenai tata cara pemotongan dana alokasi umum dan
dana bagi hasil daerah induk/provinsi yang tidak memenuhi
kewajiban hibah/bantuan pendanaan kepada daerah otonom
baru.
Ayat (5)
Pengurangan penerimaan dana perimbangan sesuai
mekanisme yang diatur dalam Peraturan Menteri Keuangan
mengenai tata cara pemotongan dana alokasi umum dan
dana bagi hasil daerah induk/provinsi yang tidak memenuhi
kewajiban hibah/bantuan pendanaan kepada daerah otonom
baru.
Ayat (6)
Cukup jelas.
Ayat (7)
Cukup jelas.",2,"Yang dimaksud dengan memberikan bantuan dana dalam
ketentuan ini adalah pemberian sejumlah dana yang
didasarkan pada Keputusan Gubernur Sumatera Selatan
Nomor 441/KPTS/I/2010 tanggal 28 Juni 2010 dan
Keputusan Dewan Perwakilan Rakyat Daerah Provinsi
Sumatera Selatan Nomor 1 Tahun 2009 tanggal 5 Januari
2009, serta untuk pelaksanaan pemilihan Bupati dan Wakil
Bupati Penukal Abab Lematang Ilir pertama kali sesuai
dengan Keputusan Gubernur Sumatera Selatan Nomor
441/KPTS/I/2010 tanggal 28 Juni 2010 dan Keputusan
Dewan Perwakilan Rakyat Daerah Provinsi Sumatera Selatan
Nomor 1 Tahun 2009 tanggal 5 Januari 2009.",7,2013
40,VI,"PENDAPATAN, ALOKASI DANA PERIMBANGAN,
HIBAH, DAN BANTUAN KEUANGAN",,,,,16,3," Pemberian hibah sebagaimana dimaksud pada ayat (1) dan pemberian
bantuan dana sebagaimana dimaksud pada ayat (2) dimulai sejak
pelantikan Penjabat Bupati Penukal Abab Lematang Ilir.",16-3,"Ayat (1)
Yang dimaksud dengan memberikan bantuan dana dalam
ketentuan ini adalah pemberian sejumlah dana yang
didasarkan pada Keputusan Bupati Muara Enim Nomor
668/KPTS/III/2007 tanggal 30 Juni 2007 dan Keputusan
Pimpinan Dewan Perwakilan Rakyat Daerah Kabupaten
Muara Enim Nomor 08 Tahun 2010 tanggal 14 Juli 2010,
serta untuk pelaksanaan pemilihan Bupati dan Wakil Bupati
Penukal Abab Lematang Ilir pertama kali sesuai dengan
Keputusan Bupati Muara Enim Nomor 546/KPTS/I/2010
tanggal 29 Juni 2010 dan Keputusan Dewan Perwakilan
Rakyat Daerah Kabupaten Muara Enim Nomor 11 Tahun
2010 tanggal 12 Juli 2010.
Ayat (2)
Yang dimaksud dengan memberikan bantuan dana dalam
ketentuan ini adalah pemberian sejumlah dana yang
didasarkan pada Keputusan Gubernur Sumatera Selatan
Nomor 441/KPTS/I/2010 tanggal 28 Juni 2010 dan
Keputusan Dewan Perwakilan Rakyat Daerah Provinsi
Sumatera Selatan Nomor 1 Tahun 2009 tanggal 5 Januari
2009, serta untuk pelaksanaan pemilihan Bupati dan Wakil
Bupati Penukal Abab Lematang Ilir pertama kali sesuai
dengan Keputusan Gubernur Sumatera Selatan Nomor
441/KPTS/I/2010 tanggal 28 Juni 2010 dan Keputusan
Dewan Perwakilan Rakyat Daerah Provinsi Sumatera Selatan
Nomor 1 Tahun 2009 tanggal 5 Januari 2009.
Ayat (3)
Cukup jelas.
Ayat (4)
Pengurangan penerimaan dana perimbangan sesuai
mekanisme yang diatur dalam Peraturan Menteri Keuangan
mengenai tata cara pemotongan dana alokasi umum dan
dana bagi hasil daerah induk/provinsi yang tidak memenuhi
kewajiban hibah/bantuan pendanaan kepada daerah otonom
baru.
Ayat (5)
Pengurangan penerimaan dana perimbangan sesuai
mekanisme yang diatur dalam Peraturan Menteri Keuangan
mengenai tata cara pemotongan dana alokasi umum dan
dana bagi hasil daerah induk/provinsi yang tidak memenuhi
kewajiban hibah/bantuan pendanaan kepada daerah otonom
baru.
Ayat (6)
Cukup jelas.
Ayat (7)
Cukup jelas.",3,Cukup jelas.,7,2013
41,VI,"PENDAPATAN, ALOKASI DANA PERIMBANGAN,
HIBAH, DAN BANTUAN KEUANGAN",,,,,16,4," Apabila Kabupaten Muara Enim tidak memenuhi kesanggupannya
memberikan hibah sesuai ketentuan sebagaimana dimaksud pada
ayat (1), Pemerintah mengurangi penerimaan dana perimbangan dari
Kabupaten Muara Enim untuk diberikan kepada Pemerintah
Kabupaten Penukal Abab Lematang Ilir.",16-4,"Ayat (1)
Yang dimaksud dengan memberikan bantuan dana dalam
ketentuan ini adalah pemberian sejumlah dana yang
didasarkan pada Keputusan Bupati Muara Enim Nomor
668/KPTS/III/2007 tanggal 30 Juni 2007 dan Keputusan
Pimpinan Dewan Perwakilan Rakyat Daerah Kabupaten
Muara Enim Nomor 08 Tahun 2010 tanggal 14 Juli 2010,
serta untuk pelaksanaan pemilihan Bupati dan Wakil Bupati
Penukal Abab Lematang Ilir pertama kali sesuai dengan
Keputusan Bupati Muara Enim Nomor 546/KPTS/I/2010
tanggal 29 Juni 2010 dan Keputusan Dewan Perwakilan
Rakyat Daerah Kabupaten Muara Enim Nomor 11 Tahun
2010 tanggal 12 Juli 2010.
Ayat (2)
Yang dimaksud dengan memberikan bantuan dana dalam
ketentuan ini adalah pemberian sejumlah dana yang
didasarkan pada Keputusan Gubernur Sumatera Selatan
Nomor 441/KPTS/I/2010 tanggal 28 Juni 2010 dan
Keputusan Dewan Perwakilan Rakyat Daerah Provinsi
Sumatera Selatan Nomor 1 Tahun 2009 tanggal 5 Januari
2009, serta untuk pelaksanaan pemilihan Bupati dan Wakil
Bupati Penukal Abab Lematang Ilir pertama kali sesuai
dengan Keputusan Gubernur Sumatera Selatan Nomor
441/KPTS/I/2010 tanggal 28 Juni 2010 dan Keputusan
Dewan Perwakilan Rakyat Daerah Provinsi Sumatera Selatan
Nomor 1 Tahun 2009 tanggal 5 Januari 2009.
Ayat (3)
Cukup jelas.
Ayat (4)
Pengurangan penerimaan dana perimbangan sesuai
mekanisme yang diatur dalam Peraturan Menteri Keuangan
mengenai tata cara pemotongan dana alokasi umum dan
dana bagi hasil daerah induk/provinsi yang tidak memenuhi
kewajiban hibah/bantuan pendanaan kepada daerah otonom
baru.
Ayat (5)
Pengurangan penerimaan dana perimbangan sesuai
mekanisme yang diatur dalam Peraturan Menteri Keuangan
mengenai tata cara pemotongan dana alokasi umum dan
dana bagi hasil daerah induk/provinsi yang tidak memenuhi
kewajiban hibah/bantuan pendanaan kepada daerah otonom
baru.
Ayat (6)
Cukup jelas.
Ayat (7)
Cukup jelas.",4,"Pengurangan penerimaan dana perimbangan sesuai
mekanisme yang diatur dalam Peraturan Menteri Keuangan
mengenai tata cara pemotongan dana alokasi umum dan
dana bagi hasil daerah induk/provinsi yang tidak memenuhi
kewajiban hibah/bantuan pendanaan kepada daerah otonom
baru.",7,2013
42,VI,"PENDAPATAN, ALOKASI DANA PERIMBANGAN,
HIBAH, DAN BANTUAN KEUANGAN",,,,,16,5," Apabila Provinsi Sumatera Selatan tidak memenuhi kesanggupannya
memberikan bantuan dana sesuai ketentuan sebagaimana dimaksud
pada ayat (2), Pemerintah mengurangi penerimaan dana perimbangan
dari Provinsi Sumatera Selatan untuk diberikan kepada Pemerintah
Kabupaten Penukal Abab Lematang Ilir.",16-5,"Ayat (1)
Yang dimaksud dengan memberikan bantuan dana dalam
ketentuan ini adalah pemberian sejumlah dana yang
didasarkan pada Keputusan Bupati Muara Enim Nomor
668/KPTS/III/2007 tanggal 30 Juni 2007 dan Keputusan
Pimpinan Dewan Perwakilan Rakyat Daerah Kabupaten
Muara Enim Nomor 08 Tahun 2010 tanggal 14 Juli 2010,
serta untuk pelaksanaan pemilihan Bupati dan Wakil Bupati
Penukal Abab Lematang Ilir pertama kali sesuai dengan
Keputusan Bupati Muara Enim Nomor 546/KPTS/I/2010
tanggal 29 Juni 2010 dan Keputusan Dewan Perwakilan
Rakyat Daerah Kabupaten Muara Enim Nomor 11 Tahun
2010 tanggal 12 Juli 2010.
Ayat (2)
Yang dimaksud dengan memberikan bantuan dana dalam
ketentuan ini adalah pemberian sejumlah dana yang
didasarkan pada Keputusan Gubernur Sumatera Selatan
Nomor 441/KPTS/I/2010 tanggal 28 Juni 2010 dan
Keputusan Dewan Perwakilan Rakyat Daerah Provinsi
Sumatera Selatan Nomor 1 Tahun 2009 tanggal 5 Januari
2009, serta untuk pelaksanaan pemilihan Bupati dan Wakil
Bupati Penukal Abab Lematang Ilir pertama kali sesuai
dengan Keputusan Gubernur Sumatera Selatan Nomor
441/KPTS/I/2010 tanggal 28 Juni 2010 dan Keputusan
Dewan Perwakilan Rakyat Daerah Provinsi Sumatera Selatan
Nomor 1 Tahun 2009 tanggal 5 Januari 2009.
Ayat (3)
Cukup jelas.
Ayat (4)
Pengurangan penerimaan dana perimbangan sesuai
mekanisme yang diatur dalam Peraturan Menteri Keuangan
mengenai tata cara pemotongan dana alokasi umum dan
dana bagi hasil daerah induk/provinsi yang tidak memenuhi
kewajiban hibah/bantuan pendanaan kepada daerah otonom
baru.
Ayat (5)
Pengurangan penerimaan dana perimbangan sesuai
mekanisme yang diatur dalam Peraturan Menteri Keuangan
mengenai tata cara pemotongan dana alokasi umum dan
dana bagi hasil daerah induk/provinsi yang tidak memenuhi
kewajiban hibah/bantuan pendanaan kepada daerah otonom
baru.
Ayat (6)
Cukup jelas.
Ayat (7)
Cukup jelas.",5,"Pengurangan penerimaan dana perimbangan sesuai
mekanisme yang diatur dalam Peraturan Menteri Keuangan
mengenai tata cara pemotongan dana alokasi umum dan
dana bagi hasil daerah induk/provinsi yang tidak memenuhi
kewajiban hibah/bantuan pendanaan kepada daerah otonom
baru.",7,2013
43,VI,"PENDAPATAN, ALOKASI DANA PERIMBANGAN,
HIBAH, DAN BANTUAN KEUANGAN",,,,,16,6," Penjabat Bupati Penukal Abab Lematang Ilir menyampaikan laporan
pertanggungjawaban realisasi penggunaan hibah sebagaimana
dimaksud pada ayat (1) kepada Bupati Muara Enim.",16-6,"Ayat (1)
Yang dimaksud dengan memberikan bantuan dana dalam
ketentuan ini adalah pemberian sejumlah dana yang
didasarkan pada Keputusan Bupati Muara Enim Nomor
668/KPTS/III/2007 tanggal 30 Juni 2007 dan Keputusan
Pimpinan Dewan Perwakilan Rakyat Daerah Kabupaten
Muara Enim Nomor 08 Tahun 2010 tanggal 14 Juli 2010,
serta untuk pelaksanaan pemilihan Bupati dan Wakil Bupati
Penukal Abab Lematang Ilir pertama kali sesuai dengan
Keputusan Bupati Muara Enim Nomor 546/KPTS/I/2010
tanggal 29 Juni 2010 dan Keputusan Dewan Perwakilan
Rakyat Daerah Kabupaten Muara Enim Nomor 11 Tahun
2010 tanggal 12 Juli 2010.
Ayat (2)
Yang dimaksud dengan memberikan bantuan dana dalam
ketentuan ini adalah pemberian sejumlah dana yang
didasarkan pada Keputusan Gubernur Sumatera Selatan
Nomor 441/KPTS/I/2010 tanggal 28 Juni 2010 dan
Keputusan Dewan Perwakilan Rakyat Daerah Provinsi
Sumatera Selatan Nomor 1 Tahun 2009 tanggal 5 Januari
2009, serta untuk pelaksanaan pemilihan Bupati dan Wakil
Bupati Penukal Abab Lematang Ilir pertama kali sesuai
dengan Keputusan Gubernur Sumatera Selatan Nomor
441/KPTS/I/2010 tanggal 28 Juni 2010 dan Keputusan
Dewan Perwakilan Rakyat Daerah Provinsi Sumatera Selatan
Nomor 1 Tahun 2009 tanggal 5 Januari 2009.
Ayat (3)
Cukup jelas.
Ayat (4)
Pengurangan penerimaan dana perimbangan sesuai
mekanisme yang diatur dalam Peraturan Menteri Keuangan
mengenai tata cara pemotongan dana alokasi umum dan
dana bagi hasil daerah induk/provinsi yang tidak memenuhi
kewajiban hibah/bantuan pendanaan kepada daerah otonom
baru.
Ayat (5)
Pengurangan penerimaan dana perimbangan sesuai
mekanisme yang diatur dalam Peraturan Menteri Keuangan
mengenai tata cara pemotongan dana alokasi umum dan
dana bagi hasil daerah induk/provinsi yang tidak memenuhi
kewajiban hibah/bantuan pendanaan kepada daerah otonom
baru.
Ayat (6)
Cukup jelas.
Ayat (7)
Cukup jelas.",6,Cukup jelas.,7,2013
44,VI,"PENDAPATAN, ALOKASI DANA PERIMBANGAN,
HIBAH, DAN BANTUAN KEUANGAN",,,,,16,7," Penjabat Bupati Penukal Abab Lematang Ilir menyampaikan
laporan pertanggungjawaban realisasi penggunaan dana hibah dan
dana bantuan sebagaimana dimaksud pada ayat (1) dan ayat (2)
kepada Gubernur Sumatera Selatan.",16-7,"Ayat (1)
Yang dimaksud dengan memberikan bantuan dana dalam
ketentuan ini adalah pemberian sejumlah dana yang
didasarkan pada Keputusan Bupati Muara Enim Nomor
668/KPTS/III/2007 tanggal 30 Juni 2007 dan Keputusan
Pimpinan Dewan Perwakilan Rakyat Daerah Kabupaten
Muara Enim Nomor 08 Tahun 2010 tanggal 14 Juli 2010,
serta untuk pelaksanaan pemilihan Bupati dan Wakil Bupati
Penukal Abab Lematang Ilir pertama kali sesuai dengan
Keputusan Bupati Muara Enim Nomor 546/KPTS/I/2010
tanggal 29 Juni 2010 dan Keputusan Dewan Perwakilan
Rakyat Daerah Kabupaten Muara Enim Nomor 11 Tahun
2010 tanggal 12 Juli 2010.
Ayat (2)
Yang dimaksud dengan memberikan bantuan dana dalam
ketentuan ini adalah pemberian sejumlah dana yang
didasarkan pada Keputusan Gubernur Sumatera Selatan
Nomor 441/KPTS/I/2010 tanggal 28 Juni 2010 dan
Keputusan Dewan Perwakilan Rakyat Daerah Provinsi
Sumatera Selatan Nomor 1 Tahun 2009 tanggal 5 Januari
2009, serta untuk pelaksanaan pemilihan Bupati dan Wakil
Bupati Penukal Abab Lematang Ilir pertama kali sesuai
dengan Keputusan Gubernur Sumatera Selatan Nomor
441/KPTS/I/2010 tanggal 28 Juni 2010 dan Keputusan
Dewan Perwakilan Rakyat Daerah Provinsi Sumatera Selatan
Nomor 1 Tahun 2009 tanggal 5 Januari 2009.
Ayat (3)
Cukup jelas.
Ayat (4)
Pengurangan penerimaan dana perimbangan sesuai
mekanisme yang diatur dalam Peraturan Menteri Keuangan
mengenai tata cara pemotongan dana alokasi umum dan
dana bagi hasil daerah induk/provinsi yang tidak memenuhi
kewajiban hibah/bantuan pendanaan kepada daerah otonom
baru.
Ayat (5)
Pengurangan penerimaan dana perimbangan sesuai
mekanisme yang diatur dalam Peraturan Menteri Keuangan
mengenai tata cara pemotongan dana alokasi umum dan
dana bagi hasil daerah induk/provinsi yang tidak memenuhi
kewajiban hibah/bantuan pendanaan kepada daerah otonom
baru.
Ayat (6)
Cukup jelas.
Ayat (7)
Cukup jelas.",7,Cukup jelas.,7,2013
45,VI,"PENDAPATAN, ALOKASI DANA PERIMBANGAN,
HIBAH, DAN BANTUAN KEUANGAN",,,,,17,,"Penjabat Bupati Penukal Abab Lematang Ilir berkewajiban melakukan
penatausahaan keuangan daerah sesuai dengan peraturan perundang-
undangan.",17-,Cukup jelas.,,Cukup jelas.,7,2013
46,VII,PEMBINAAN,,,,,18,1," Untuk mengefektifkan penyelenggaraan pemerintahan daerah,
Pemerintah dan Pemerintah Provinsi Sumatera Selatan melakukan
pembinaan dan fasilitasi secara khusus terhadap Kabupaten Penukal
Abab Lematang Ilir dalam waktu 3 (tiga) tahun sejak diresmikan.",18-1,Cukup jelas.,,,7,2013
47,VII,PEMBINAAN,,,,,18,2," Pemerintah bersama Gubernur Sumatera Selatan melakukan evaluasi
terhadap penyelenggaraan Pemerintahan Kabupaten Penukal Abab
Lematang Ilir sesuai peraturan perundang-undangan.",18-2,Cukup jelas.,,,7,2013
48,VII,PEMBINAAN,,,,,18,3," Hasil evaluasi sebagaimana dimaksud pada ayat (2) dijadikan acuan
kebijakan lebih lanjut oleh Pemerintah dan/atau Gubernur Sumatera
Selatan sesuai dengan peraturan perundang-undangan.",18-3,Cukup jelas.,,,7,2013
49,VIII,KETENTUAN PERALIHAN,,,,,19,1," Sebelum terbentuknya Dewan Perwakilan Rakyat Daerah Kabupaten
Penukal Abab Lematang Ilir berdasarkan hasil Pemilihan Umum
Tahun 2014, Penjabat Bupati Penukal Abab Lematang Ilir menyusun
Rancangan Peraturan Bupati tentang Anggaran Pendapatan dan
Belanja Daerah Kabupaten Penukal Abab Lematang Ilir untuk tahun
anggaran berikutnya.",19-1,Cukup jelas.,,,7,2013
50,VIII,KETENTUAN PERALIHAN,,,,,19,2," Rancangan Peraturan Bupati Penukal Abab Lematang Ilir sebagaimana
dimaksud pada ayat (1) dilaksanakan setelah disahkan oleh
Gubernur Sumatera Selatan.",19-2,Cukup jelas.,,,7,2013
51,VIII,KETENTUAN PERALIHAN,,,,,19,3," Proses pengesahan dan penetapan Peraturan Bupati Penukal Abab
Lematang Ilir sebagaimana dimaksud pada ayat (2) dilaksanakan
sesuai dengan peraturan perundang-undangan.",19-3,Cukup jelas.,,,7,2013
52,VIII,KETENTUAN PERALIHAN,,,,,20,,"Sebelum Bupati Penukal Abab Lematang Ilir bersama Dewan Perwakilan
Rakyat Daerah Kabupaten Penukal Abab Lematang Ilir menetapkan
peraturan daerah, dan Bupati Penukal Abab Lematang Ilir menetapkan
peraturan bupati sebagai pelaksanaan Undang-Undang ini, semua
peraturan daerah dan Peraturan Bupati Muara Enim sepanjang tidak
bertentangan dengan Undang-Undang ini tetap berlaku di Kabupaten
Penukal Abab Lematang Ilir.",20-,Cukup jelas.,,Cukup jelas.,7,2013
53,IX,KETENTUAN PENUTUP,,,,,21,,"Pada saat Undang-Undang ini mulai berlaku, semua ketentuan dalam
peraturan perundang-undangan yang berkaitan dengan Kabupaten
Penukal Abab Lematang Ilir harus disesuaikan dengan Undang-Undang
ini.",21-,Cukup jelas.,,Cukup jelas.,7,2013
54,IX,KETENTUAN PENUTUP,,,,,22,,"Undang-Undang ini mulai berlaku pada tanggal diundangkan.
Agar setiap orang mengetahuinya, memerintahkan pengundangan
Undang-Undang ini dengan penempatannya dalam Lembaran Negara
Republik Indonesia.
Disahkan di Jakarta
pada tanggal 11 Januari 2013
PRESIDEN REPUBLIK INDONESIA,
DR. H. SUSILO BAMBANG YUDHOYONO
Diundangkan di Jakarta
pada tanggal 11 Januari 2013
MENTERI HUKUM DAN HAK ASASI MANUSIA
REPUBLIK INDONESIA,
AMIR SYAMSUDIN",22-,Cukup jelas.,,Cukup jelas.,7,2013
0,I,KETENTUAN UMUM,,,,,1,,"Dalam Undang-Undang ini, yang dimaksud dengan:
1. Pemerintah pusat, selanjutnya disebut Pemerintah, adalah Presiden
Republik Indonesia yang memegang kekuasaan pemerintahan negara
Republik Indonesia sebagaimana dimaksud dalam Undang-Undang
Dasar Negara Republik Indonesia Tahun 1945.
2. Daerah otonom, selanjutnya disebut daerah, adalah kesatuan
masyarakat hukum yang mempunyai batas-batas wilayah yang
berwenang mengatur dan mengurus urusan pemerintahan dan
kepentingan masyarakat setempat menurut prakarsa sendiri
berdasarkan aspirasi masyarakat dalam sistem Negara Kesatuan
Republik Indonesia.
3. Provinsi Sulawesi Tenggara adalah provinsi sebagaimana dimaksud
dalam Undang-Undang Nomor 13 Tahun 1964 tentang Penetapan
Peraturan Pemerintah Pengganti Undang-Undang Nomor 2 Tahun
1964 tentang Pembentukan Daerah Tingkat I Sulawesi Tengah dan
Daerah Tingkat I Sulawesi Tenggara dengan mengubah Undang-
Undang Nomor 47 Prp 1960 tentang Pembentukan Daerah Tingkat I
Sulawesi Utara-Tengah dan Daerah Tingkat I Sulawesi Selatan-
Tenggara menjadi Undang-Undang.
4. Kabupaten Kolaka adalah kabupaten sebagaimana dimaksud dalam
Undang-Undang Nomor 29 Tahun 1959 tentang Pembentukan
Daerah-daerah Tingkat II di Sulawesi yang wilayahnya telah dikurangi
dengan Kabupaten Kolaka Utara berdasarkan Undang-Undang Nomor
29 Tahun 2003 tentang Pembentukan Kabupaten Bombana,
Kabupaten Wakatobi, dan Kabupaten Kolaka Utara di Provinsi
Sulawesi Tenggara, yang merupakan kabupaten asal Kabupaten
Kolaka Timur.",1-,Cukup jelas.,,Cukup jelas.,8,2013
1,II,"PEMBENTUKAN, CAKUPAN WILAYAH,
BATAS WILAYAH, DAN IBU KOTA",Kesatu,Pembentukan,,,2,,"Dengan Undang-Undang ini dibentuk Kabupaten Kolaka Timur di wilayah
Provinsi Sulawesi Tenggara dalam Negara Kesatuan Republik Indonesia.",2-,Cukup jelas.,,Cukup jelas.,8,2013
